text,label
What is Forex trading?,1
Explain cryptocurrency mining.,1
How does leverage work in Forex?,1
What is Bitcoin?,1
Tell me about the Ethereum blockchain.,1
What does 'pip' stand for?,1
Can you explain DeFi?,1
What are NFTs?,1
List major currency pairs.,1
How do I choose a Forex broker?,1
What is technical analysis?,1
Explain the concept of 'spread' in trading.,1
What is a crypto wallet?,1
Difference between hot and cold wallets?,1
What is staking in crypto?,1
How does risk management work in trading?,1
Explain stop-loss orders.,1
What is market sentiment?,1
Tell me about candlestick patterns.,1
What is slippage?,1
How are Forex rates determined?,1
What is fundamental analysis for currencies?,1
Explain the role of central banks in Forex.,1
What is a margin call?,1
How does yield farming work?,1
What are smart contracts?,1
Explain Bitcoin halving.,1
What are altcoins?,1
How to read Forex charts?,1
What is liquidity in the Forex market?,1
Give me some tips for beginner Forex traders.,1
What are the risks of trading crypto?,1
Explain tokenomics.,1
What is the difference between Forex and stocks?,1
How does a demo account help?,1
What is the MACD indicator?,1
Explain RSI (Relative Strength Index).,1
What are Fibonacci retracements?,1
How does news impact Forex prices?,1
What is a market order vs a limit order?,1
Tell me about volatility in crypto markets.,1
What are Layer 1 and Layer 2 blockchains?,1
How to secure my crypto assets?,1
What is arbitrage in Forex?,1
Explain impermanent loss in DeFi.,1
What is 'going long' vs 'going short'?,1
How much capital do I need to start Forex trading?,1
What are the main Forex trading sessions?,1
Tell me about crypto exchanges.,1
What affects the price of Bitcoin?,1
How is Ethereum gas fee calculated?,1
Explain Proof-of-Work vs Proof-of-Stake.,1
What are stablecoins?,1
How to spot a Forex scam?,1
What is margin trading in crypto?,1
Give me a strategy for day trading crypto.,1
What are the best indicators for swing trading Forex?,1
How to manage emotions while trading?,1
What is copy trading?,1
Explain the concept of order book depth.,1
What is the capital of Australia?,0
Who painted the Mona Lisa?,0
Tell me a joke.,0
What is the weather forecast for tomorrow?,0
How are you doing today?,0
Can you sing a song?,0
What's your favorite color?,0
Recommend a good book to read.,0
What is the recipe for chocolate cake?,0
Who won the last Super Bowl?,0
